Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AER,Aercap Holdings N.V.,41.63,$6.12B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",46.59,$2.14B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
ACY,AeroCentury Corp.,12.27,$18.97M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
HIVE,"Aerohive Networks, Inc.",4.4,$245.82M,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",33.48,$2.62B,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AVAV,"AeroVironment, Inc.",78.38,$1.88B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
ARPO,"Aerpio Pharmaceuticals, Inc.",3.64,$147.74M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo
AEZS,AEterna Zentaris Inc.,3.67,$60.34M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.01,$19.15M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",0.219,$14.18M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx
AMG,"Affiliated Managers Group, Inc.",106.56,$5.55B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
AFMD,Affimed N.V.,3.63,$226.61M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AFL,Aflac Incorporated,49.07,$36.82B,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",17.6,$566.72M,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.2223,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.66,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,66.7,$5.1B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
UAVS,"AgEagle Aerial Systems, Inc.",0.4912,$5.7M,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs
AGEN,Agenus Inc.,2.77,$363.17M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGE,"AgeX Therapeutics, Inc.",4.28,$153.22M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/age
AGRX,"Agile Therapeutics, Inc.",1.44,$62.23M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
A,"Agilent Technologies, Inc.",79.3,$25.18B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AGYS,"Agilysys, Inc.",20.7,$487.18M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",64.35,$3.76B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,22.73,$755M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,17.95,$9.63B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.48,$8.83B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCM,AGNC Investment Corp.,24.86,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,25.86,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AEM,Agnico Eagle Mines Limited,43.34,$10.19B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,66.7,$2.5B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AGFS,"AgroFresh Solutions, Inc.",4.86,$245.13M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.13,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",1.4,$20.65M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",23.05,$1.43B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AIRI,Air Industries Group,1.31,$36.34M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
AL,Air Lease Corporation,34.79,$3.86B,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
AL^A,Air Lease Corporation,25.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/al^a
APD,"Air Products and Chemicals, Inc.",183.95,$40.4B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AIRT,"Air T, Inc.",31.4,$63.56M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",20.94,$1.24B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
AYR,Aircastle Limited,19.6,$1.47B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
AIRG,"Airgain, Inc.",13.5,$129.62M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,0.46,$28.89M,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
AKS,AK Steel Holding Corporation,2.75,$869.85M,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
AKAM,"Akamai Technologies, Inc.",71.94,$11.74B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,1.88,$29.72M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",30.45,$2.72B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",7.34,$857.95M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc.,1.01,$12.61M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",3.71,$465.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",6.1,$182.47M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
ALP^Q,Alabama Power Company,25.03,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",98.29,$1.15B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,4.96,$1.94B,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
ALRM,"Alarm.com Holdings, Inc.",59.98,$2.89B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
ALK,"Alaska Air Group, Inc.",55.42,$6.82B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
ALSK,"Alaska Communications Systems Group, Inc.",1.75,$93.07M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
AIN,Albany International Corporation,72.95,$2.35B,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,85.51,$9.04B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
ALAC,Alberton Acquisition Corporation,9.97,$146.46M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac
ALACR,Alberton Acquisition Corporation,0.17,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,10.17,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.0799,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw
ALBO,"Albireo Pharma, Inc.",30.73,$369.56M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,7.46,$100.84M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
AA,Alcoa Corporation,27.52,$5.1B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
ALDR,"Alder BioPharmaceuticals, Inc.",12.77,$874.74M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",8,$219.16M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALEC,"Alector, Inc.",15.97,$1.09B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alec
ALEX,"Alexander & Baldwin, Inc.",22.86,$1.65B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",363.61,$1.86B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",139.39,$15.71B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",37.53,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
AXU,Alexco Resource Corp,1.35,$146.26M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALXN,"Alexion Pharmaceuticals, Inc.",132.04,$29.51B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
AQN,Algonquin Power & Utilities Corp.,11.16,$5.46B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,26.65,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna
BABA,Alibaba Group Holding Limited,180.41,$467.66B,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
ALCO,"Alico, Inc.",29.87,$222.91M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",243.36,$19.47B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.13,$80.19M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
ALO,Alio Gold Inc.,0.8314,$70.43M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
ALYA,Alithya Group inc.,2.75,$133.22M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya
